label,group,comparison_group,config,benchmark_case,ns_per_interaction,interactions_per_second,real_time,cpu_time,time_unit,run_id,note,ratio_context,ratio_value
APRIL AoS scalar,APRIL,AoS scalar,native,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500",1.022021849482982,978452662.735026,4286.305619818124,4285.623781,ms,20260426_131439,APRIL scalar AoS accessor path.,,
Handwritten AoS scalar,Handwritten,AoS scalar,native,BM_Baseline_Handcoded_AoS_Scalar/16/500,1.0187633971497252,981582183.6530236,4272.575264989399,4271.960178,ms,20260426_131439,Comparable scalar AoS handwritten loop.,,
APRIL SoA scalar,APRIL,SoA scalar,native,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500",1.189644569406288,840587202.0237663,4989.199639620842,4988.512780000001,ms,20260426_131439,APRIL scalar SoA accessor path.,,
Handwritten SoA scalar,Handwritten,SoA scalar,native,BM_Baseline_Handcoded_SoA_Scalar/16/500,1.0952443884023964,913038232.0047064,4593.428905744832,4592.666389000002,ms,20260426_131439,Uses local accumulators; not a perfectly equal baseline.,,
APRIL SoA SIMD,APRIL,SIMD,native,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500",0.3402262660733364,2939220453.3216376,1426.8880950030566,1426.6639970000003,ms,20260426_131439,APRIL vectorized SoA direct-sum path.,,
APRIL AoSoA SIMD,APRIL,SIMD,native,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500",0.3392214178399724,2947927068.8967805,1422.6555180471314,1422.4503869999996,ms,20260426_131439,APRIL vectorized AoSoA direct-sum path.,,
Handwritten SoA 2D SIMD,Handwritten,SIMD,native,BM_Baseline_Handcoded_SoA_2D_SIMD/16/500,0.344393460489164,2903655599.556496,1444.33493862495,1444.138210000002,ms,20260426_131439,Explicit 2D SIMD rotation-sweep reference.,,
Handwritten SoA 1D SIMD,Handwritten,SIMD secondary,native,BM_Baseline_Handcoded_SoA_1D_SIMD/16/500,0.4611862947382483,2168321156.5676765,1934.2330556822608,1933.8832660000023,ms,20260426_131439,Broadcast-reduce SIMD reference.,,
APRIL AoS scalar / handwritten AoS scalar,Ratio,summary,native,,,,,,,,Ratio < 1 means APRIL is faster; ratio > 1 means APRIL is slower.,APRIL AoS scalar / handwritten AoS scalar,1.0031984387566075
APRIL SoA scalar / handwritten SoA scalar,Ratio,summary,native,,,,,,,,Ratio < 1 means APRIL is faster; ratio > 1 means APRIL is slower.,APRIL SoA scalar / handwritten SoA scalar,1.0861909743647176
APRIL SoA SIMD / handwritten SoA 2D SIMD,Ratio,summary,native,,,,,,,,Ratio < 1 means APRIL is faster; ratio > 1 means APRIL is slower.,APRIL SoA SIMD / handwritten SoA 2D SIMD,0.9878999026000416
APRIL AoSoA SIMD / handwritten SoA 2D SIMD,Ratio,summary,native,,,,,,,,Ratio < 1 means APRIL is faster; ratio > 1 means APRIL is slower.,APRIL AoSoA SIMD / handwritten SoA 2D SIMD,0.9849821694005297
