label,engine,config,benchmark,scenario,run_id,n,particles,steps,ranks,threads,total_cores,pair_time_s,neighbors_per_step,ns_per_interaction,interactions_per_second,pair_ns_per_interaction,pair_interactions_per_second,wall_time_s,pkg_openmp,pkg_intel,extra_cxx_flags,lammps_commit,benchmark_repo_commit,command,result_dir
LAMMPS intel-generic force kernel,lammps,intel-generic,force_kernel_bench,n50_singlecore_steps100,20260426_171954,50,125000,100,1,1,1,2.3106,4712572,4.90305506,203954471,4.903055062076505,203954470.700251,5.105336,ON,ON,-O3 -DNDEBUG -fp-model=fast -qopenmp,unknown,unknown,mpirun -np 1 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954
LAMMPS intel-native force kernel,lammps,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_165217,50,125000,100,1,1,1,1.595,4712572,3.38456367,295459060,3.384563673509922,295459059.56112856,4.527041,ON,ON,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,unknown,unknown,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217
LAMMPS intel-native force kernel,lammps,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_171020,50,125000,100,1,1,1,1.6011,4712572,3.39750777,294333396,3.39750777282554,294333395.7903941,4.333283,ON,ON,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,unknown,unknown,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020
LAMMPS intel-native force kernel,lammps,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_174418,50,125000,100,1,1,1,1.5906,4712572,3.37522695,296276374,3.375226946134722,296276373.69546086,4.356827,ON,ON,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,unknown,unknown,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418
LAMMPS openmp-generic force kernel,lammps,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_154806,50,125000,100,1,1,1,2.0504,4712572,4.35091496,229836715,4.350914956843099,229836714.78735855,2.487055,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,unknown,unknown,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806
LAMMPS openmp-generic force kernel,lammps,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_183217,50,125000,100,1,1,1,2.0512,4712572,4.35261254,229747075,4.352612543638591,229747074.8829953,2.535069,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,unknown,unknown,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217
LAMMPS openmp-generic force kernel,lammps,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_185327,50,125000,100,1,1,1,2.0501,4712572,4.35027836,229870348,4.350278361794791,229870347.7879128,2.459933,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,unknown,unknown,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327
LAMMPS openmp-native force kernel,lammps,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_160927,50,125000,100,1,1,1,1.9235,4712572,4.08163525,244999844,4.08163525140836,244999844.0343125,2.367242,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927
LAMMPS openmp-native force kernel,lammps,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_163052,50,125000,100,1,1,1,1.9243,4712572,4.08333284,244897989,4.083332838203852,244897988.87907293,2.332429,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052
LAMMPS openmp-native force kernel,lammps,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_173411,50,125000,100,1,1,1,1.9235,4712572,4.08163525,244999844,4.08163525140836,244999844.0343125,2.336007,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411
